active_groups,best_psnr,ergas,gate_alpha,gate_beta,post_tau,psnr,residual_first_l2,residual_second_l2,routing_entropy,run_dir,sam,scheme,second_active_groups,ssim,stage_first_scale,stage_phase,stage_second_scale
,14.5568,11.084,,,,14.4733,,,,training_logs/experiments_v2/ablation_v2_5a_nopost_bestpre/2026-03-20_04-03-08,0.3528,v2_5a_nopost_bestpre,,0.3461,,,
4.0,14.4919,11.3288,,,0.5,14.2991,,,1.3760244846343994,training_logs/experiments_v2/ablation_v2_5b_scheme1_gumbel/2026-03-20_04-31-41,0.3603,v2_5b_scheme1_gumbel,,0.3235,,,
2.0,14.111,11.9023,,,0.0,13.8071,,,0.0,training_logs/experiments_v2/ablation_v2_5c_scheme3_dual_branch/2026-03-20_05-00-38,0.3814,v2_5c_scheme3_dual_branch,,0.2934,,,
1.0,14.596,11.0604,,,0.0,14.4787,,,0.0,training_logs/experiments_v2/ablation_v2_5d_scheme6_matrix/2026-03-20_05-29-09,0.3526,v2_5d_scheme6_matrix,,0.3492,,,
,14.6933,10.7362,,,,14.6933,,,,training_logs/experiments_v3/ablation_v3_5a_nopost_bestpre/2026-03-20_06-16-46,0.3439,v3_5a_nopost_bestpre,,0.3263,,,
4.0,14.1056,11.6462,1.0,1.0,0.6000000000000001,14.1056,0.25576356053352356,0.020580271258950233,1.3541518449783325,training_logs/experiments_v3/ablation_v3_5e_scheme1_plus6/2026-03-20_06-17-55,0.3631,v3_5e_scheme1_plus6,1.0,0.2722,1.0,2.0,1.0
2.0,14.6097,10.955,1.0,1.0,0.0,14.5117,0.20806239545345306,0.08704405277967453,0.0,training_logs/experiments_v3/ablation_v3_5f_scheme3_plus6/2026-03-20_06-19-03,0.3469,v3_5f_scheme3_plus6,1.0,0.3337,1.0,2.0,1.0
4.0,14.1053,11.6448,1.0,1.0,0.6000000000000001,14.1053,0.2557465732097626,0.020632663741707802,1.3541518449783325,training_logs/experiments_v3/ablation_v3_5e_scheme1_plus6_stage/2026-03-20_05-57-12,0.3628,v3_5e_scheme1_plus6_stage,1.0,0.2726,1.0,2.0,1.0
2.0,14.6307,10.8525,1.0,1.0,0.0,14.6211,0.2041599303483963,0.07915229350328445,0.0,training_logs/experiments_v3/ablation_v3_5f_scheme3_plus6_stage/2026-03-20_05-58-27,0.3467,v3_5f_scheme3_plus6_stage,1.0,0.3402,1.0,2.0,1.0
4.0,14.4223,11.1507,0.4975552260875702,0.49906831979751587,0.6000000000000001,14.4223,0.2862689793109894,0.024337705224752426,1.3541518449783325,training_logs/experiments_v3/ablation_v3_5e_scheme1_plus6_stage_gated/2026-03-20_06-16-30,0.349,v3_5e_scheme1_plus6_stage_gated,1.0,0.3247,1.0,2.0,1.0
2.0,14.5317,10.9447,0.49881792068481445,0.4990616738796234,0.0,14.5298,0.2651401162147522,0.08482992649078369,0.0,training_logs/experiments_v3/ablation_v3_5f_scheme3_plus6_stage_gated/2026-03-20_06-17-45,0.3456,v3_5f_scheme3_plus6_stage_gated,1.0,0.3297,1.0,2.0,1.0
